model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainscg,20,30,984159.494840882,975362.5768602038,1315926.9779018709
nar,trainscg,20,35,170309.18005027866,116630.68164044355,406777.4741991977
nar,trainscg,20,40,80922.757685813,58816.694070783175,192599.77255661192
nar,trainscg,20,5,163326.7197663762,146104.81221902178,252424.67110908424
nar,trainscg,25,1,133063.05270847437,125429.3009398564,206944.8096052763
nar,trainscg,25,10,164791.43145349005,171090.25015913846,178275.0686642936
nar,trainscg,25,15,180080.49191818555,183817.9341567589,194428.7954689327
nar,trainscg,25,20,298060.1593086137,264352.94299996994,512609.7003287514
nar,trainscg,25,25,105255.82144737434,82905.97722998906,195998.27689652087
nar,trainscg,25,30,92483.24431128477,61165.5467748359,203508.00564135145
nar,trainscg,25,35,77557.94499092027,60787.226538882285,158104.99165470738
nar,trainscg,25,40,362409.64664244174,244356.41471184464,1049939.4681872188
nar,trainscg,25,5,1001158.4826870223,1083087.4969512804,753090.4930934503
nar,trainscg,30,1,98628.41145995508,90508.45327017047,148313.28732879704
nar,trainscg,30,10,203230.61338986,202839.94320559734,214191.46218304
nar,trainscg,30,15,85941.20988731447,84428.25588010084,61298.05628121709
nar,trainscg,30,20,632660.9731740586,647364.1837429431,638773.230717566
nar,trainscg,30,25,102952.22762686957,73618.21338460527,245834.7157133482
nar,trainscg,30,30,181781.48503438453,175375.39401435052,255947.934833454
nar,trainscg,30,35,125353.97637071036,107890.04330639594,222806.9490962952
nar,trainscg,30,40,265334.70114730013,216355.01599965905,590602.3958233204
nar,trainscg,30,5,76978.35888035594,62214.05226789247,139489.80234402505
nar,trainscg,35,1,227891.4267697525,232886.4616188145,259360.1652661041
nar,trainscg,35,10,70583.96332881812,62910.89173796832,84296.54257890138
nar,trainscg,35,15,52035.03251268172,51368.17270379338,53073.012378899366
nar,trainscg,35,20,391374.96933518787,361763.0045325698,564426.0731145845
nar,trainscg,35,25,94239.98618830963,57987.20567333949,273817.01532611385
nar,trainscg,35,30,257311.9936453197,229926.2764401939,345559.05521484767
nar,trainscg,35,35,252773.1174817929,211031.71112502055,498691.54247814364
nar,trainscg,35,40,319606.01103745983,265557.6628837569,627586.5697403181
nar,trainscg,35,5,107429.70630953644,86611.79495953592,205580.23013582785
nar,trainscg,40,1,243053.92595846066,252639.2407551281,184243.04395037945
nar,trainscg,40,10,76634.94050683704,56655.27826915005,162062.22972976085
nar,trainscg,40,15,81610.6075751171,61257.57196856787,208623.32728702395
